id,name,short,year,last_year,country,sector,sector_note,technology,direction,stage,implementation,plaintiff,tags,summary,limit,sources,alternative_sector,restoration_note,cohort,habeas_vehicle,system_group,included_by_default,data_failure,holding_scope,actual_computer_fault,data_status,citation,computer_fault_note,proposed_model,actual_equipment_failure,electronic_filing_issue,computer_issue_scope
herrera,Herrera v. Collins,Herrera,1993,1993,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Administrative,Adverse,Adverse,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]",The Supreme Court held that this freestanding actual-innocence claim did not entitle Herrera to federal habeas relief and affirmed.,"Do not label these allegations proven corruption, or say the Court held no conceivable innocence claim could ever matter.","[{""label"": ""Primary opinion; pp. 398–405, 417–419"", ""url"": ""https://supreme.justia.com/cases/federal/us/506/390/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,Second federal habeas petition challenging a state capital conviction.,herrera,True,Later affidavits asserted that the prisoner’s deceased brother committed the murders.,Relief denied; the Court assumed rather than resolved a hypothetical exceptionally strong freestanding innocence claim.,False,Contested new innocence evidence; Court found the showing insufficient.,506 U.S. 390,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.",Distinguish correcting a disputed factual record from proving a cognizable constitutional ground and satisfying its threshold.,,,
kyles,Kyles v. Whitley,Kyles,1995,1995,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Administrative,Favorable,Merits or injunction,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]",The Supreme Court reversed denial of habeas relief and held Kyles entitled to a new trial.,The judgment does not itself prove physical release. Cumulative materiality is not a rule that every omitted item automatically invalidates a conviction.,"[{""label"": ""Primary opinion; pp. 421–422, 434–438, 454"", ""url"": ""https://supreme.justia.com/cases/federal/us/514/419/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,"Federal habeas petition challenging a state capital conviction, before AEDPA.",kyles,True,"Suppressed eyewitness statements, inconsistent informant accounts, and other favorable evidence.",Merits victory under Brady materiality; prosecution responsibility reaches favorable evidence known to police acting for the government.,False,Material suppression established by the Court’s cumulative review.,514 U.S. 419,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.",Maintain source-linked contradictions and review the combined effect of omitted evidence across agency boundaries.,,,
cushman,Cushman v. Trans Union,Cushman,1997,1997,US,Private,Private credit-reporting and reinvestigation process; computerized information handling is not itself proof of an algorithmic calculation defect.,Computerized,Favorable,Procedural or interim,Not established in sources,Human,"[""Evidence and data"", ""Classification"", ""Remedy access""]",The consumer won reversal of judgment against her; reasonable reinvestigation of disputed credit information can require checking original sources rather than merely repeating their confirmation.,Final liability and compensation were not determined; the opinion applied an earlier statutory version and a fact-dependent verification duty.,"[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/federal/appellate-courts/F3/115/220/568353/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,cushman,True,,,,,,,,,,
hamdi,Hamdi v. Rumsfeld,Hamdi,2004,2004,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Mixed,Mixed disposition,Not established in sources,Human,"[""Classification"", ""Evidence and data"", ""Notice and hearing"", ""Authority and rules"", ""Remedy access""]","The Court vacated and remanded for a meaningful opportunity to contest enemy-combatant classification, while the plurality accepted statutory detention authority in defined circumstances and adapted procedures.",The judgment did not order release or find the classification false; factual challenge rights and detention authority are separate holdings.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/542/507/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,Federal habeas under 28 U.S.C. §2241 challenging executive military detention.,hamdi,True,,,,,,,,,,
house,House v. Bell,House,2006,2006,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Physical,Favorable,Procedural or interim,Not established in sources,Human,"[""Evidence and data"", ""Remedy access"", ""Notice and hearing""]",House satisfied the demanding innocence gateway and could pursue his defaulted constitutional claims on remand.,The Court expressly distinguished serious doubt sufficient for the gateway from conclusive exoneration and hypothetical freestanding innocence relief.,"[{""label"": ""Primary opinion; 547 U.S. pp. 537–555"", ""url"": ""https://www.law.cornell.edu/supct/html/04-8990.ZO.html""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,Federal habeas petition; actual-innocence gateway through state procedural default.,house,True,DNA excluded House as the semen source; blood handling and contamination evidence undermined the prosecution’s forensic narrative.,Review-access victory; no freestanding innocence relief or release ordered in this opinion.,False,"DNA source correction established; the full forensic and witness record was assessed together, not as conclusive exoneration.",547 U.S. 518,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.","Keep chain-of-custody, packaging, transport conditions, retesting, and competing source explanations available for independent review.",,,
boumediene,Boumediene v. Bush,Boumediene,2008,2008,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Favorable,Procedural or interim,Not established in sources,Represented humans,"[""Authority and rules"", ""Evidence and data"", ""Notice and hearing"", ""Remedy access""]","The Court held the Suspension Clause applicable and the substitute review inadequate, invalidating jurisdiction stripping and returning the cases for meaningful habeas proceedings.",The decision neither adjudicated these detentions lawful or unlawful nor ordered release; later merits and implementation require separate evidence.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/553/723/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,Federal habeas challenges to Guantánamo detention and constitutional adequacy of the substitute review process.,boumediene,True,,,,,,,,,,
wyeth,Wyeth v. Levine,Wyeth,2009,2009,US,Private,"Private manufacturer warning duty; federal regulation is a legal constraint, not sufficient alone to code joint operational control.",Physical,Favorable,Damages judgment,Not established in sources,Human,"[""Design and components"", ""Authority and rules"", ""Remedy access""]","The Supreme Court affirmed the injured patient’s judgment, rejecting federal preemption because the manufacturer could strengthen its warning through the regulatory route available on that record.",Regulatory ability to change warnings was decisive; the result does not establish all approved-product injuries are compensable or prove payment.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/555/555/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,wyeth,True,,,,,,,,,,
mcdaniel,McDaniel v. Brown,McDaniel,2010,2010,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Physical,Adverse,Adverse,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]",The Court reversed the appellate grant on the insufficiency theory. A newly recast DNA due-process claim was forfeited; other ineffective-assistance grounds remained for further consideration.,"An insufficiency analysis considers all trial-admitted evidence; it cannot simply delete disputed evidence using a later expert report. The case was decided January 11, 2010, despite one publisher’s 2009 header.","[{""label"": ""Primary opinion; pp. 128–136"", ""url"": ""https://supreme.justia.com/cases/federal/us/558/120/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,Federal §2254 habeas petition challenging a state rape conviction.,mcdaniel,True,DNA testimony conflated random-match probability with source probability; sibling-match probabilities were disputed.,"Adverse ruling on the reviewed theories, not final rejection of every habeas ground.",False,The State acknowledged the prosecutor’s fallacy; the DNA match itself was not disproved.,558 U.S. 120,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.",Type-check probabilities and preserve the precise constitutional claim; statistical error and the applicable legal remedy are separate questions.,,,
plata,Brown v. Plata,Plata,2011,2011,US,Public,"Public prison capacity and delivery of constitutionally required care. Administrative category captures institutional operation, not a claim that physical conditions were absent.",Administrative,Favorable,Merits or injunction,Not established in sources,Represented humans,"[""Capacity and delay"", ""Design and components"", ""Remedy access""]",The Court affirmed a structural population-reduction order after findings that overcrowding primarily caused unconstitutional prison care and less intrusive remedies had failed.,The 137.5% capacity limit was case-specific; the appellate opinion does not by itself measure subsequent care quality or completed compliance.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/563/493/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,plata,True,,,,,,,,,,
connick,Connick v. Thompson,Connick,2011,2011,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Adverse,Adverse,Documented some restoration,Human,"[""Evidence and data"", ""Remedy access"", ""Authority and rules""]",The Court reversed a $14 million municipal failure-to-train judgment because the record failed the deliberate-indifference requirements of the institutional-liability theory at issue.,"This damages-route loss does not erase the underlying disclosure wrong or reverse Thompson’s acquittal, and does not decide all remedy theories.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/563/51/""}]",,"The majority opinion records prior vacatur of both convictions, a 2003 acquittal at murder retrial, and release before the damages litigation. The 2011 decision reversed the $14 million damages judgment; it did not cause that earlier liberty restoration.",original,,connick,True,,,,,,,,,,
pliva,"PLIVA, Inc. v. Mensing",PLIVA,2011,2011,US,Private,Private product suppliers subject to federal labeling constraints; regulation alone does not make the operating system public.,Physical,Adverse,Adverse,Not established in sources,Human,"[""Design and components"", ""Authority and rules"", ""Remedy access""]",The Supreme Court held the generic-drug warning claims preempted because federal requirements prevented the manufacturers from independently making the labeling changes required by state law.,A barrier to these state-law claims does not establish that the products caused no harm or that all legal routes are unavailable.,"[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/564/604/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,pliva,True,,,,,,,,,,
mcquiggin,McQuiggin v. Perkins,McQuiggin,2013,2013,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Administrative,Mixed,Mixed disposition,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]","The Court recognized an innocence gateway through the limitations period, but vacated the favorable appellate judgment and remanded, emphasizing the demanding showing and relevance of delay.",This was neither proof of innocence nor an automatic exemption from habeas deadlines; second-or-successive petitions present separate restrictions.,"[{""label"": ""Primary opinion; pp. 386–387, 392–401"", ""url"": ""https://supreme.justia.com/cases/federal/us/569/383/""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,Federal §2254 habeas petition; proposed innocence gateway through §2244(d) limitations.,mcquiggin,True,Later affidavits identified a different killer; reliability and unexplained delay were contested.,Favorable gateway doctrine with a mixed individual disposition.,False,Innocence not established by the Supreme Court; the district court had found the showing inadequate.,569 U.S. 383,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.",Keep timestamped provenance and reasons for delayed discovery; separate evidentiary credibility from simple elapsed-time counts.,,,
han_tak_lee,Han Tak Lee v. Superintendent Houtzdale SCI,Han Tak Lee,2015,2015,US,Public,The challenged detention rests on a state criminal conviction; the respondent is the public custodian.,Physical,Favorable,Merits or injunction,Not established in sources,Human,"[""Evidence and data"", ""Remedy access""]",The Third Circuit affirmed conditional habeas relief requiring retrial or release within 120 days under the district court order.,Review without AEDPA deference rested on this case’s procedural history; the opinion flags later law that might have changed that analysis. No computer breakdown was found.,"[{""label"": ""Primary opinion; 798 F.3d pp. 161–167; slip pp. 6, 12 n.5, 14–19"", ""url"": ""https://www2.ca3.uscourts.gov/opinarch/143876p.pdf""}]",,This reviewed decision does not establish completed physical release or subsequent compensation.,added,Federal §2254 habeas petition; Third Circuit appeal from conditional relief.,han_tak_lee,True,Discredited arson theories and gas-chromatography interpretations underpinned the conviction; retesting undermined their reliability.,"Actual grant of habeas relief, based on trial unfairness rather than a freestanding innocence claim. The filing discussion applies clerk obligations to automated systems; it preserved the state’s appeal, then the court affirmed relief for Lee.",False,The Commonwealth conceded the scientific foundations were invalid or unreliable; remaining evidence did not supply the necessary support.,798 F.3d 159,"No computer or electrical malfunction is identified as the basis of the reviewed holding; false is a coding exclusion, not a finding about every event in the case.","Version scientific methods, preserve samples, and reopen dependent conclusions when a foundational method is invalidated.",,True,The opinion separately addresses electronic filing and receipt-date errors in the state’s appeal. The habeas merits concerned unreliable forensic evidence.
kw,K.W. v. Armstrong,K.W.,2015,2015,US,Public,The challenged consequential process is controlled by a public institution.,Computerized,Favorable,Procedural or interim,Not established in sources,Represented humans,"[""Classification"", ""Evidence and data"", ""Notice and hearing"", ""Remedy access""]","The appellate court affirmed expanded preliminary protection against disability-service reductions without adequate notice, continuing prior services pending intelligible explanation and a fair-hearing opportunity.",Interim protection is not a final finding that every budget was incorrect; delivered care for each recipient was not independently verified.,"[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/federal/appellate-courts/ca9/14-35296/14-35296-2015-06-05.html""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,kw,True,,,,,,,,,,
loomis,State v. Loomis,Loomis,2016,2016,US,Public,"The challenged consequential act is public sentencing. Proprietary private scoring is an important component, rather than the holder of sentencing authority.",Computerized,Adverse,Adverse,Not established in sources,Human,"[""Classification"", ""Evidence and data"", ""Notice and hearing""]",The Wisconsin Supreme Court denied resentencing while limiting permissible uses of COMPAS risk scores and emphasizing other factors supporting the sentencing decision.,"The claimant lost; cautions do not constitute certification of COMPAS accuracy, fairness, or suitability for every sentencing context.","[{""label"": ""Primary decision"", ""url"": ""https://www.wicourts.gov/sc/opinion/DisplayDocument.pdf?content=pdf&seqNo=171690""}]",Mixed,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,loomis,True,,,,,,,,,,
ledgerwood,Arkansas Department of Human Services v. Ledgerwood,Ledgerwood,2017,2017,US,Public,The challenged consequential process is controlled by a public institution.,Computerized,Favorable,Procedural or interim,Not established in sources,Human,"[""Notice and hearing"", ""Authority and rules"", ""Classification"", ""Remedy access""]","The Arkansas Supreme Court affirmed temporary protection for named care recipients, based on irreparable harm and likely success against inadequate rulemaking notice for an algorithmic methodology change.","The interlocutory ruling did not settle every merits issue, prohibit algorithms nationally, or verify care delivered after the order.","[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/arkansas/supreme-court/2017/cv-17-183.html""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,ledgerwood,True,,,,,,,,,,
houston,Houston Federation of Teachers v. Houston Independent School District,Houston teachers,2017,2017,US,Public,Public district employment decisions used privately controlled proprietary EVAAS scoring. Primary coding follows the public employer’s challenged deprivation; mixed is plausible.,Computerized,Mixed,Mixed disposition,Not established in sources,Represented humans,"[""Evidence and data"", ""Classification"", ""Notice and hearing"", ""Remedy access""]",Teachers’ procedural due-process claim concerning unverifiable employment ratings survived the district’s summary-judgment motion; the district received judgment on all other claims in that order.,"This was a mixed interlocutory ruling, not damages, final algorithm invalidation, or verified implementation of a later settlement.","[{""label"": ""Primary decision"", ""url"": ""https://www.govinfo.gov/content/pkg/USCOURTS-txsd-4_14-cv-01189/pdf/USCOURTS-txsd-4_14-cv-01189-0.pdf""}]",Mixed,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,houston,True,,,,,,,,,,
cahoo,Cahoo v. SAS Institute and related officials,Cahoo,2019,2023,US,Mixed,Public fraud adjudication and collection used private system suppliers; the cited appeal resolves officials’ immunity while private claims remained pending.,Computerized,Adverse,Adverse,Not established in sources,Human,"[""Evidence and data"", ""Notice and hearing"", ""Classification"", ""Remedy access""]","After early pleading-stage success, the 2023 appeal granted qualified immunity to the two remaining agency supervisors; claims against private defendants remained pending at that stage.","Adverse codes this officials’ appeal, not final resolution of every defendant or judicial approval of the MiDAS system.","[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/federal/appellate-courts/ca6/21-1407/21-1407-2023-06-15.html""}]",Public,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,MiDAS,True,,,,,,,,,,
regents,DHS v. Regents of the University of California,Regents,2020,2020,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Mixed,Mixed disposition,Not established in sources,Represented humans,"[""Authority and rules"", ""Evidence and data"", ""Remedy access""]",DACA recipients and institutional plaintiffs secured remand of rescission for inadequate consideration of alternatives and reliance interests; not every asserted claim succeeded.,"This historical explanation-and-consideration ruling does not establish permanent DACA continuation, current availability, or success on every constitutional theory.","[{""label"": ""Primary decision"", ""url"": ""https://supreme.justia.com/cases/federal/us/591/18-587/""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,regents,True,,,,,,,,,,
syri,NJCM and others v. Netherlands (SyRI),SyRI,2020,2020,Netherlands,Public,The challenged consequential process is controlled by a public institution.,Computerized,Mixed,Mixed disposition,Not established in sources,Represented humans,"[""Evidence and data"", ""Classification"", ""Authority and rules"", ""Remedy access""]","Successful collective claimants obtained an Article 8 ruling against the challenged SyRI legal provisions, while some claims were inadmissible and other requested relief, including general deletion, was refused.","Mixed codes differing claimants and remedies; the substantive architecture challenge succeeded, but no universal compensation or deletion order followed.","[{""label"": ""Primary decision"", ""url"": ""https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBDHA:2020:1878""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,syri,True,,,,,,,,,,
hamilton,Hamilton and others v. Post Office,Horizon appeals,2021,2021,UK,Mixed,"Post Office enterprise accounting, private vendor technology and employer-led prosecutions fed criminal enforcement; mixed describes the operational chain, not corporate form alone.",Computerized,Mixed,Mixed disposition,Documented some restoration,Human,"[""Evidence and data"", ""Classification"", ""Notice and hearing"", ""Remedy access""]",The Court of Appeal quashed convictions of 39 appellants on abuse-of-process grounds while dismissing three appeals whose individual evidentiary circumstances differed.,"Legal nullification of convictions is established; complete compensation, personal restoration, and correction of every downstream record are not.","[{""label"": ""Primary decision"", ""url"": ""https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/577""}]",Public,"The appellate judgment itself quashed 39 convictions. This is an executed legal correction for those appellants, not proof of compensation or complete downstream record repair.",original,,hamilton,True,,,,,,,,,,
robodebt,Prygodicz / Knox Robodebt settlement sequence,Robodebt,2021,2026,Australia,Public,The challenged consequential process is controlled by a public institution.,Computerized,Favorable,Settlement,Documented some restoration,Represented humans,"[""Evidence and data"", ""Classification"", ""Notice and hearing"", ""Remedy access""]","The sequence includes an approved 2021 settlement, documented refunds and original settlement payments, and approval of additional compensation in June 2026 for the automated-debt scheme.",Settlements are not contested verdicts on every allegation; approval of the newest compensation does not establish its complete payment.,"[{""label"": ""2021 settlement judgment"", ""url"": ""https://casechat.au/cases/au/prygodicz-v-commonwealth-of-australia-no-2""}, {""label"": ""Original refunds and payments"", ""url"": ""https://www.servicesaustralia.gov.au/robodebt-class-action-settlement""}, {""label"": ""2026 settlement approval"", ""url"": ""https://www.servicesaustralia.gov.au/new-robodebt-class-action-settlement""}]",,Services Australia reports refunds largely paid in late 2020 and original settlement payments made in September 2022. Additional compensation was approved in June 2026; its completed payment is not established.,original,,robodebt,True,,,,,,,,,,
transunion,TransUnion LLC v. Ramirez,TransUnion,2021,2021,US,Private,The challenged product or information service is privately operated.,Computerized,Mixed,Mixed disposition,Not established in sources,Represented humans,"[""Evidence and data"", ""Classification"", ""Remedy access""]","The Court found standing for 1,853 class members whose misleading reports reached third parties but not 6,332 with undisclosed internal files on that theory, reversing and remanding.",These are claim- and dissemination-specific standing results; the judgment does not establish that internal misclassification was accurate or every class member received compensation.,"[{""label"": ""Primary decision"", ""url"": ""https://www.supremecourt.gov/opinions/20pdf/20-297_4g25.pdf""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,transunion,True,,,,,,,,,,
bauserman,Bauserman v. Unemployment Insurance Agency,Bauserman,2022,2024,US,Public,The challenged consequential process is controlled by a public institution.,Computerized,Favorable,Settlement,Documented some restoration,Represented humans,"[""Evidence and data"", ""Classification"", ""Notice and hearing"", ""Remedy access""]","The Michigan Supreme Court recognized a constitutional damages claim; the later $20 million settlement was finally approved, with individual reversals and seized-money returns recorded earlier.",State constitutional reasoning is not a nationwide federal rule; class settlement approval does not establish every payment reached its recipient.,"[{""label"": ""Primary decision"", ""url"": ""https://law.justia.com/cases/michigan/supreme-court/2022/160813.html""}, {""label"": ""Final settlement approval"", ""url"": ""https://www.michigan.gov/ag/news/press-releases/2024/01/30/class-action-settlement-approved-by-court-of-claims""}]",,The 2022 opinion records reversals of Bauserman’s and Broe’s determinations and returns of improperly seized money. The 2024 $20 million class settlement approval does not verify every class payment.,original,,MiDAS,True,,,,,,,,,,
egbert,Egbert v. Boule,Egbert,2022,2022,US,Public,The challenged consequential process is controlled by a public institution.,Administrative,Adverse,Adverse,Not established in sources,Human,"[""Authority and rules"", ""Remedy access""]","The Court rejected extending Bivens damages remedies to the border-agent excessive-force and First Amendment retaliation claims before it, reversing the contrary appellate judgment.","This is a damages-remedy barrier, not a determination that all alleged conduct was lawful or that every possible form of relief is barred.","[{""label"": ""Primary decision"", ""url"": ""https://www.supremecourt.gov/opinions/21pdf/21-147_g31h.pdf""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,egbert,True,,,,,,,,,,
schufa,"SCHUFA Holding, C-634/21",SCHUFA,2023,2023,EU,Private,The challenged consequential information service is private credit scoring and reliance by private customers; regulator litigation does not make the underlying service public.,Computerized,Favorable,Procedural or interim,Not established in sources,Human,"[""Classification"", ""Evidence and data"", ""Authority and rules"", ""Remedy access""]","The CJEU held that a credit score strongly relied upon in a consequential decision can itself constitute automated decision-making, preventing responsibility from disappearing between producer and user.",This preliminary ruling did not award a loan or damages; exceptions and national-law application remained for the referring court.,"[{""label"": ""Primary decision"", ""url"": ""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62021CJ0634""}]",,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,schufa,True,,,,,,,,,,
ck,"CK v. Magistrat der Stadt Wien, C-203/22",CK / D&B,2025,2025,EU,Private,Primary coding follows private Dun & Bradstreet scoring and explanation duties; the public authority’s failed enforcement makes mixed classification plausible.,Computerized,Favorable,Procedural or interim,Not established in sources,Human,"[""Evidence and data"", ""Classification"", ""Notice and hearing"", ""Remedy access""]","The CJEU required intelligible information about the procedure actually applied to personal data, with trade-secret issues subject to competent review rather than automatic refusal.","The interpretive ruling does not establish eventual disclosure, a phone contract, or compensation; prior failed enforcement is separately relevant.","[{""label"": ""Primary decision"", ""url"": ""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62022CJ0203""}]",Mixed,"No source in this reviewed set establishes completed payment, delivered services, physical release, or institutional compliance after this decision.",original,,ck,True,,,,,,,,,,
